mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
0.17791132926940917,0.010657521389148102,0.00543665885925293,0.00013180412175143588,0.01,0.1,3,500,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500}",0.9910662084815254,0.9862678232140252,0.9910132745704126,0.9847917254823216,0.9896657075807356,0.9885609478658042,0.0025681195101200736,1,-130.93774542132843,-155.54783337440375,-127.47757967825412,-157.9924900353049,-138.8497203605217,-142.16107377396258,12.508974642538467,1
0.17227931022644044,0.010514335079958317,0.005486345291137696,0.00015805203330662582,0.1,0.1,3,500,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500}",0.9910662084815254,0.9862678232140252,0.9910132745704126,0.9847917254823216,0.9896657075807356,0.9885609478658042,0.0025681195101200736,1,-130.93774542132843,-155.54783337440375,-127.47757967825412,-157.9924900353049,-138.8497203605217,-142.16107377396258,12.508974642538467,1
0.07801752090454102,0.00827915349936241,0.0047571659088134766,5.009763833665156e-05,0.01,0.1,3,200,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",0.9910331417882813,0.9855663908034037,0.9913906761551622,0.9846795409480915,0.9896895782524722,0.9884718655894822,0.002806632321224241,3,-131.1798419200309,-159.47100984075234,-124.77213170287608,-158.57413878955757,-138.68926659466896,-142.53727776957717,14.165670807148638,3
0.07482013702392579,0.0016380289528709058,0.004627609252929687,4.456108938787085e-05,0.1,0.1,3,200,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",0.9910331417882813,0.9855663908034037,0.9913906761551622,0.9846795409480915,0.9896895782524722,0.9884718655894822,0.002806632321224241,3,-131.1798419200309,-159.47100984075234,-124.77213170287608,-158.57413878955757,-138.68926659466896,-142.53727776957717,14.165670807148638,3
0.11846132278442383,0.04669405291441604,0.006687545776367187,0.001980482439525667,0.1,0.1,3,100,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.990386744250797,0.9837961617150758,0.9913942075089995,0.9844215142585105,0.9885698231934265,0.9877136901853619,0.003085768662186954,5,-135.8257776250105,-168.96751750707168,-124.74653969670503,-159.90391349120904,-146.02630983286792,-147.09401163057285,15.937794273840426,5
0.04332776069641113,0.0033922971924899813,0.004543781280517578,5.6823505942539255e-05,0.01,0.1,3,100,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.990386744250797,0.9837961617150758,0.9913942075089995,0.9844215142585105,0.9885698231934265,0.9877136901853619,0.003085768662186954,5,-135.8257776250105,-168.96751750707168,-124.74653969670503,-159.90391349120904,-146.02630983286792,-147.09401163057285,15.937794273840426,5
0.08872590065002442,0.004248662247850551,0.0049324512481689455,0.00012368529031085644,0.01,0.1,6,100,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100}",0.9884861992723333,0.9810328641533433,0.990225190023818,0.9835344115531867,0.9907965617932043,0.9868150453591772,0.0038592873128537437,7,-148.64705395338513,-182.80798035901947,-132.9496610591959,-164.3936735373575,-131.03269901154533,-151.96621358410067,19.57812279885029,7
0.18828258514404297,0.1836857597178474,0.008471012115478516,0.0073711118638129045,0.1,0.1,6,100,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100}",0.9884861992723333,0.9810328641533433,0.990225190023818,0.9835344115531867,0.9907965617932043,0.9868150453591772,0.0038592873128537437,7,-148.64705395338513,-182.80798035901947,-132.9496610591959,-164.3936735373575,-131.03269901154533,-151.96621358410067,19.57812279885029,7
0.16881270408630372,0.0037832481703603425,0.005279541015625,0.0001073870734579583,0.01,0.1,6,200,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200}",0.9884094035317819,0.9811474338763092,0.9900873994052429,0.9833429349700229,0.9905859994789131,0.986714634252454,0.0037841070936735096,9,-149.14195955059085,-182.25502434544086,-133.8834443209207,-165.34676898912355,-132.5231484976279,-152.63006914074077,19.011804408371,10
0.34056596755981444,0.22306755151957755,0.01034560203552246,0.010084272054375476,0.1,0.1,6,200,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200}",0.9884093542424672,0.9811474662474158,0.9901008390167803,0.9833313608021786,0.9905828225187892,0.9867143685655263,0.003787908063747611,10,-149.1422766652962,-182.25486787339022,-133.7926532227011,-165.4042046455882,-132.54550802706828,-152.6279020868088,19.03265480333948,9
0.39048471450805666,0.016824112176076687,0.006959724426269531,0.00012566033456474376,0.01,0.1,6,500,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 500}",0.9883323554851321,0.9813073759007098,0.9899833615288385,0.9833047993039272,0.9902812915239134,0.9866418367485043,0.003656817303664129,11,-149.63684621331132,-181.48026701377663,-134.5841984651944,-165.53593809478798,-134.65079252435052,-153.17760846228418,18.19485418358549,12
